20260701 042800;1.139740;1.139750;1.139540;1.139550;0
20260701 042900;1.139570;1.139670;1.139550;1.139620;0
20260701 043000;1.139620;1.139650;1.139430;1.139480;0
20260701 043100;1.139460;1.139470;1.139400;1.139470;0
20260701 043200;1.139500;1.139640;1.139480;1.139600;0
20260701 043300;1.139580;1.139610;1.139500;1.139530;0
20260701 043400;1.139540;1.139690;1.139540;1.139680;0
20260701 043500;1.139690;1.139690;1.139500;1.139590;0
20260701 043600;1.139610;1.139740;1.139600;1.139690;0
20260701 043700;1.139690;1.139830;1.139690;1.139730;0
20260701 043800;1.139730;1.139750;1.139630;1.139750;0
20260701 043900;1.139770;1.139790;1.139720;1.139730;0
20260701 044000;1.139740;1.139940;1.139730;1.139890;0
20260701 044100;1.139900;1.139960;1.139830;1.139830;0
20260701 044200;1.139850;1.139960;1.139830;1.139960;0
20260701 044300;1.139940;1.139990;1.139910;1.139980;0
20260701 044400;1.139990;1.140030;1.139920;1.139960;0
20260701 044500;1.139980;1.139980;1.139890;1.139970;0
20260701 044600;1.139960;1.139970;1.139700;1.139840;0
20260701 044700;1.139850;1.139920;1.139800;1.139900;0
20260701 044800;1.139890;1.139890;1.139780;1.139840;0
20260701 044900;1.139820;1.139820;1.139770;1.139810;0
20260701 045000;1.139820;1.139890;1.139740;1.139840;0
20260701 045100;1.139860;1.139980;1.139860;1.139960;0
20260701 045200;1.139960;1.140030;1.139880;1.139900;0
20260701 045300;1.139920;1.139980;1.139890;1.139960;0
20260701 045400;1.139980;1.140030;1.139950;1.140010;0
20260701 045500;1.140020;1.140160;1.140010;1.140050;0
20260701 045600;1.140050;1.140060;1.139960;1.140020;0
20260701 045700;1.140020;1.140030;1.139690;1.139700;0
20260701 045800;1.139700;1.139700;1.139480;1.139480;0
20260701 045900;1.139500;1.139660;1.139490;1.139610;0
20260701 050000;1.139630;1.139630;1.139410;1.139450;0
20260701 050100;1.139460;1.139710;1.139460;1.139690;0
20260701 050200;1.139680;1.139720;1.139630;1.139680;0
20260701 050300;1.139700;1.139950;1.139700;1.139920;0
20260701 050400;1.139900;1.139910;1.139840;1.139910;0
20260701 050500;1.139910;1.139920;1.139710;1.139720;0
20260701 050600;1.139710;1.139720;1.139520;1.139710;0
20260701 050700;1.139690;1.139710;1.139530;1.139530;0
20260701 050800;1.139500;1.139580;1.139440;1.139560;0
20260701 050900;1.139570;1.139600;1.139380;1.139450;0
20260701 051000;1.139450;1.139750;1.139450;1.139700;0
